month,rows,tickers,future_max_return_1_3m_mean,future_max_return_1_3m_p90,future_max_return_1_3m_p95,future_max_return_1_3m_max,label_top10_1_3m_count,label_top5_1_3m_count,label_boom30_top10_1_3m_count,label_boom40_top10_1_3m_count,label_boom50_top5_1_3m_count,label_mega100_1_3m_count
2018-10-31,490,490,0.05774522617493955,0.15917307472826003,0.1898794180695313,0.592511030798009,50,25,4,1,1,0
2018-11-30,490,490,0.05600601334255764,0.16158643786627513,0.23848165056276935,0.6796295434522712,50,25,10,4,2,0
2018-12-31,491,491,0.19583689192065237,0.3350291918647881,0.3938358253457359,1.0777386123532837,50,25,50,24,11,1
2019-01-31,491,491,0.12970303164909133,0.24407251019699117,0.3005278425804885,0.9262450343634021,50,25,26,14,9,0
2019-02-28,491,491,0.07846454810644718,0.17424557392588835,0.21286011932663296,0.6725469224602816,50,25,10,7,3,0
2019-03-31,494,494,0.08476962362390307,0.19219456686006903,0.23283911714560418,0.9750813051307474,50,25,8,6,3,0
2019-04-30,494,494,0.047371266142522586,0.15372693298883536,0.2064308365349925,1.803784833215755,50,25,7,4,1,1
2019-05-31,496,496,0.1335865141376816,0.24735181832456343,0.29838420438732477,0.9558338778560096,50,25,24,9,3,0
2019-06-30,497,497,0.05562431477026443,0.15041860114868907,0.1793610692395656,0.627537071932051,50,25,5,1,1,0
2019-07-31,497,497,0.043503026421079734,0.15125440822317154,0.2013603467605031,0.5429448541481652,50,25,8,1,1,0
2019-08-31,497,497,0.10043488497020059,0.24240765739406075,0.29442123515159224,0.7972350038015128,50,25,19,6,3,0
2019-09-30,500,500,0.10272920491773695,0.24066791542710894,0.3147186366921299,1.2984614739051232,51,26,28,13,7,1
2019-10-31,500,500,0.11226483148278547,0.22741574195289663,0.29413316838225767,1.5751634842460636,51,26,25,11,8,3
2019-11-30,501,501,0.06829674102778788,0.13999998971317584,0.19954963886755706,1.2391403448350142,51,26,10,5,4,3
2019-12-31,501,501,0.010101935032462145,0.11559150086449832,0.15988370440920496,0.8740911899541923,51,26,10,4,3,0
2020-01-31,501,501,-0.0396794616537864,0.09673850889818425,0.19174034741560542,1.4253506712496353,51,26,12,4,4,2
2020-02-29,501,501,0.020018605467984528,0.23743607424584945,0.35141226247301227,1.4855202135641128,51,26,35,17,12,2
2020-03-31,503,503,0.2856676044884174,0.5511508998289709,0.7311289152225663,2.239214960590375,51,26,51,51,26,15
2020-04-30,503,503,0.1791728523552945,0.3916770723955148,0.4946839010825006,1.9223111740561598,51,26,51,48,24,4
2020-05-31,503,503,0.1541975973106319,0.3271960882288943,0.4586238509157343,2.0831352552551192,51,26,51,35,22,4
2020-06-30,503,503,0.13624523211141149,0.2787551234169536,0.3685916366798085,1.307443020652589,51,26,40,22,14,1
2020-07-31,503,503,0.08740548723588529,0.21593870173067778,0.29043929692058734,0.8158235967226752,51,26,25,13,7,0
2020-08-31,503,503,0.1309208050656319,0.30061045385505814,0.3549068712409222,1.3730960847325488,51,26,51,20,13,3
2020-09-30,505,505,0.22070941223731116,0.4465439406010525,0.5933061101563851,1.8536842747738485,51,26,51,51,26,8
2020-10-31,505,505,0.26470212487888456,0.4931286071898653,0.624668413953158,3.512142726353237,51,26,51,51,26,12
2020-11-30,506,506,0.14075989985801254,0.3276991440617829,0.40633658749534385,1.4951924267252563,51,26,51,27,15,3
2020-12-31,509,509,0.12859238476598933,0.2988265498437687,0.38102346636058215,1.1914147745482273,51,26,49,20,11,1
2021-01-31,510,510,0.17627508916789003,0.337260652787321,0.40158808916347505,0.9143024548019594,52,26,52,27,5,0
2021-02-28,511,511,0.138378669785589,0.2538796276281705,0.2947011738332508,0.7230039386024298,52,26,23,5,2,0
2021-03-31,511,511,0.10865925513589837,0.21585074324942655,0.27206874889832344,0.7944253623802264,52,26,17,5,3,0
2021-04-30,514,514,0.0822952256563964,0.2151937738468306,0.27033949511793104,0.9774074019715426,52,26,16,4,1,0
2021-05-31,514,514,0.08304620493224237,0.25094482129308127,0.3267852848970497,1.0360521789404622,52,26,33,13,3,1
2021-06-30,514,514,0.06559715860253935,0.16152680335611558,0.20587936186681582,0.6378414858676327,52,26,9,4,2,0
2021-07-31,516,516,0.08894817384069996,0.22497210368777398,0.31323113970931094,1.443725608618156,52,26,29,14,8,1
2021-08-31,516,516,0.055866210440359304,0.18620451514875658,0.29499273184493735,1.384384408465115,52,26,25,14,7,1
2021-09-30,516,516,0.13539821143893846,0.26824097712140815,0.3628023308080416,1.2903846700515995,52,26,38,21,9,1
2021-10-31,516,516,0.06316034294906014,0.1764318147972146,0.24210990639787905,0.5837765794707779,52,26,12,5,1,0
2021-11-30,516,516,0.08822257860923127,0.21372321574826425,0.2704682310191754,0.5560256319099552,52,26,13,5,2,0
2021-12-31,516,516,0.00802029982980968,0.18171997686400565,0.2636248652600705,0.9618978641890616,52,26,21,9,6,0
2022-01-31,517,517,0.049825065039014474,0.18397535707154378,0.25288848935029684,0.881441449569913,52,26,21,10,8,0
2022-02-28,517,517,0.05404210879625143,0.16442741497525604,0.21235887249458832,1.0693068923514542,52,26,10,4,3,1
2022-03-31,517,517,-0.03799101443298907,0.08160035838637297,0.12751527494935216,0.425396709581505,52,26,3,1,0,0
2022-04-30,518,518,0.03993731786625324,0.16208000335729622,0.20183233706811907,0.7607187324805176,52,26,7,4,2,0
2022-05-31,518,518,0.018037305192029666,0.13100853319494898,0.19123065111004037,0.9464635043487399,52,26,14,9,6,0
2022-06-30,518,518,0.12630372125738087,0.25238566518629424,0.3435639162491782,1.012525308011758,52,26,36,19,9,1
2022-07-31,518,518,0.022750657038140092,0.17775486394170992,0.25639699306759334,0.7098150923229287,52,26,17,6,2,0
2022-08-31,518,518,0.07649448208608606,0.22983411736550238,0.2895136021627199,0.5772197317275249,52,26,22,5,2,0
2022-09-30,518,518,0.18515294764242488,0.32693963504212203,0.4021571376861576,0.6384601077702203,52,26,52,28,10,0
2022-10-31,518,518,0.11379577735042784,0.2813681391652055,0.3329626904708068,0.8237885027628198,52,26,35,12,5,0
2022-11-30,518,518,0.04588348364232296,0.15920997949306062,0.2079925847019385,1.3359375596628538,52,26,14,6,3,1
2022-12-31,519,519,0.12495307736320124,0.30368405745289107,0.38424709175835137,1.1455695044534036,52,26,52,25,15,2
2023-01-31,519,519,0.02819089062618381,0.15413831681902476,0.20663882029418087,0.6132109102068526,52,26,12,4,2,0
2023-02-28,520,520,0.059450699598322915,0.19359022391853262,0.2861048621692507,1.2859039108629413,53,27,24,9,8,2
2023-03-31,520,520,0.09914277365074115,0.2340448467449259,0.3539815788201752,2.147590351982496,53,27,35,17,16,4
2023-04-30,520,520,0.15287426928145656,0.30818151554939777,0.4842154126553067,5.621037107068836,53,27,53,36,24,7
2023-05-31,521,521,0.16511662262067786,0.3073337979802382,0.3840918786897298,2.8970585385864407,53,27,53,22,12,3
2023-06-30,521,521,0.06642437301318245,0.17489236865723412,0.23696314768170712,1.1191490302856537,53,27,14,8,5,1
2023-07-31,521,521,-0.015612345667221592,0.08782146808019098,0.1256274021053203,0.5144176912220182,53,27,6,2,2,0
2023-08-31,521,521,0.02682961024956077,0.1417545454586655,0.1959837452310511,0.5668342162249045,53,27,8,2,1,0
2023-09-30,522,522,0.13787218633695086,0.29732463345921933,0.34795105751409844,1.3164623591818865,53,27,49,15,5,1
2023-10-31,523,523,0.2157079254514516,0.4035417993455001,0.4832866611614408,1.2551866179316686,53,27,53,53,23,2
2023-11-30,523,523,0.16952124223530327,0.3006444921825714,0.4141782427165765,2.4672895853087815,53,27,53,29,19,6
2023-12-31,523,523,0.12879751839609185,0.2660054585768312,0.37425371498865884,2.5531906085123732,53,27,41,22,19,4
2024-01-31,523,523,0.13940850534189897,0.25262720609460254,0.33798463887644015,3.4698796539110095,53,27,33,23,21,5
2024-02-29,523,523,0.08997782748474611,0.2088310076121482,0.30261723366245025,1.610409911473755,53,27,29,13,6,1
2024-03-31,527,527,0.029177509890125745,0.16809431555363533,0.20851535996688855,3.003448025820237,53,27,12,5,2,1
2024-04-30,527,527,0.12088689100914496,0.24007869632078932,0.30373165986937306,8.357466039917096,53,27,27,14,6,1
2024-05-31,527,527,0.09790119288136337,0.22372455343224693,0.25853856939442904,2.5093658313286005,53,27,17,7,2,1
2024-06-30,527,527,0.1238666207585577,0.25807000197831104,0.2920390700242045,1.5012921424873258,53,27,25,7,3,2
2024-07-31,527,527,0.10332418563649609,0.2188653257593212,0.3202967645669446,1.4681316640610045,53,27,30,17,13,4
2024-08-31,527,527,0.1701496932350833,0.3299164924060984,0.5322508428412852,3.9191374157277084,53,27,53,39,27,14
2024-09-30,527,527,0.1618746777542745,0.27173178666463876,0.3950315436771757,18.4891447989428,53,27,44,26,22,12
2024-10-31,527,527,0.15883620000432158,0.2561580014228487,0.37222307109666314,10.560605774624191,53,27,36,25,21,8
2024-11-30,527,527,0.02915384069302357,0.13830196168596046,0.19767541361845414,4.003278841789102,53,27,11,7,4,3
2024-12-31,527,527,0.08609964574985238,0.19041073195007605,0.23416508925605706,0.9599623884856874,53,27,14,3,3,0
2025-01-31,527,527,0.013990827977756781,0.14200984774253028,0.1907309732112789,0.45371663460778366,53,27,7,3,0,0
2025-02-28,528,528,0.03414170021988128,0.17361553685213146,0.24669556960990488,1.979926983005193,53,27,21,13,5,1
2025-03-31,528,528,0.12152695578900495,0.3554164073379659,0.530309845859401,1.944542603626274,53,27,53,47,27,7
2025-04-30,528,528,0.18251859913878307,0.4417630393952551,0.6296752565107268,2.2262003823213687,53,27,53,53,27,10
2025-05-31,528,528,0.14473478180820362,0.3300973755218233,0.4450504469388548,2.4850537231166574,53,27,53,34,23,6
2025-06-30,528,528,0.12232318106561861,0.2948637573005547,0.46302853530231125,2.535535093021919,53,27,52,30,23,7
2025-07-31,528,528,0.13144114101526996,0.29930507723023075,0.4993353594903446,3.6442220488089294,53,27,53,39,27,9
2025-08-31,528,528,0.10439267110682296,0.28530600903340664,0.4975383703655436,3.255383906703573,53,27,49,33,27,8
2025-09-30,528,528,0.06728240355306622,0.21892556780132783,0.31613322588232395,1.2653185491293883,53,27,30,18,9,2
2025-10-31,529,529,0.09232202218516057,0.23307970386619684,0.3114588218108744,1.8909346044576365,53,27,28,14,10,1
2025-11-30,529,529,0.12819590954261426,0.3082140131450546,0.4349935110059746,1.8455750126530135,53,27,53,36,19,3
2025-12-31,529,529,0.11401803070346801,0.3182730080090027,0.4456735561337805,1.6765522465349219,53,27,53,33,24,1
2026-01-31,529,529,0.09748477839901752,0.27410093086282566,0.4589437267721475,1.3027766837414223,53,27,45,36,23,4
2026-02-28,529,529,0.09748097535464274,0.35202172442674795,0.6147572118142461,1.8852141784105925,53,27,53,48,27,15
2026-03-31,529,529,0.2027870559944532,0.47666336373185747,0.8926571713804594,3.4071167494379413,53,27,53,53,27,22
2026-04-30,529,529,0.12846577946284435,0.3638080763193724,0.5305367129431682,1.480332624980989,53,27,53,44,27,7
2026-05-31,530,530,0.10325736679751789,0.2609626810822722,0.33482381022842256,1.9739351646952552,54,27,33,16,6,1
2026-06-30,531,531,0.06658646734401746,0.2757941297173081,0.34634300979497945,1.0558332676033872,54,27,40,15,13,1
2026-07-31,531,531,0.03665887491831067,0.15941479391488667,0.2395868046924653,1.6262313393317278,54,27,17,6,2,1
2026-08-31,531,531,-0.018980203536673342,0.0399396921392805,0.06709086859363589,0.33664564188502766,54,27,2,0,0,0
2026-09-30,531,531,,,,,0,0,0,0,0,0
