ticker,reason
STRZA,no_rows_in_batch
TCOM,no_rows_in_batch
TEAM,no_rows_in_batch
TEVA,no_rows_in_batch
TLAB,no_rows_in_batch
TRI,no_rows_in_batch
TRIP,no_rows_in_batch
TSM,no_rows_in_batch
UAUA,no_rows_in_batch
URBN,no_rows_in_batch
VIAB,no_rows_in_batch
VIP,no_rows_in_batch
VMED,no_rows_in_batch
VOD,no_rows_in_batch
VSNT,no_rows_in_batch
WBA,no_rows_in_batch
WCRX,no_rows_in_batch
WFM,no_rows_in_batch
WFMI,no_rows_in_batch
XLNX,no_rows_in_batch
XMSR,no_rows_in_batch
XRAY,no_rows_in_batch
YHOO,no_rows_in_batch
ZM,no_rows_in_batch
A,no_rows_in_batch
ABBV,no_rows_in_batch
ABT,no_rows_in_batch
ACGL,no_rows_in_batch
ACN,no_rows_in_batch
ADM,no_rows_in_batch
ADSK,no_rows_in_batch
AEE,no_rows_in_batch
AES,no_rows_in_batch
AFL,no_rows_in_batch
AIG,no_rows_in_batch
AIZ,no_rows_in_batch
AJG,no_rows_in_batch
ALB,no_rows_in_batch
ALL,no_rows_in_batch
ALLE,no_rows_in_batch
AMCR,no_rows_in_batch
AME,no_rows_in_batch
AMGN,no_rows_in_batch
AMP,no_rows_in_batch
AMT,no_rows_in_batch
AON,no_rows_in_batch
AOS,no_rows_in_batch
APA,no_rows_in_batch
APD,no_rows_in_batch
APH,no_rows_in_batch
APO,no_rows_in_batch
APTV,no_rows_in_batch
ARE,no_rows_in_batch
ARES,no_rows_in_batch
ATO,no_rows_in_batch
AVB,no_rows_in_batch
AVY,no_rows_in_batch
AWK,no_rows_in_batch
AXP,no_rows_in_batch
AZO,no_rows_in_batch
BA,no_rows_in_batch
BAC,no_rows_in_batch
BALL,no_rows_in_batch
BAX,no_rows_in_batch
BBY,no_rows_in_batch
BDX,no_rows_in_batch
BE,no_rows_in_batch
